Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	AccumulativeHeading(Y)	Speed	RSpeed	Dynamic
3.17153	40.1353	91	0	-1	2	2	-1	1	2.2859e-002	-0.165278	0.	-2.28589e-002	-2.34223	0.	2.88567e-003	0.999996	0.	2.88567e-003	0.999996	0.	4.25	0.165337	0.	0.659779	0	
3.19988	35.2638	92	0	-1	2	2	-1	1	2.09244e-002	-0.2125	0.	-2.09244e-002	-2.34293	0.	3.70985e-003	0.999993	0.	3.70985e-003	0.999993	0.	2.83333	0.212559	0.	0.441386	0	
3.22628	37.8761	93	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	1.41667	0.23617	0.	0.220469	0	
3.25119	40.1518	94	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.27541	41.2892	95	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.30054	39.7989	96	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.32615	39.0408	97	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.35291	37.3645	98	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.37722	41.135	99	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.40143	41.3082	100	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.42611	40.5278	101	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.45123	39.8109	102	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.47808	37.2406	103	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.50529	36.7477	104	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.52934	41.5758	105	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.55374	40.9901	106	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.57833	40.6569	107	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.60338	39.9327	108	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.62832	40.0902	109	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.65259	41.2021	110	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.67663	41.5951	111	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.7033	37.498	112	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.73367	32.9329	113	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.75881	39.7764	114	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.78386	39.9192	115	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.80785	41.687	116	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.83381	38.5179	117	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.85792	41.4676	118	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.88429	37.9247	119	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.90913	40.2576	120	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.93296	41.9697	121	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
3.95901	38.3882	122	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
