Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	HA	AccumulativeHeading(Y)	Speed
5.48631	58.8138	146	0	13	15	15	13	14	3.01896e-003	1.99371e-002	0.	0.	25.3333	0.	0.	1.	0.	0.	0.	60.	
5.50326	58.9929	147	0	13	15	15	13	14	3.11562e-003	1.99371e-002	0.	0.	25.6111	0.	0.	1.	0.	0.	0.	60.	
5.52039	58.3712	148	0	13	15	15	13	14	3.21227e-003	1.99371e-002	0.	0.	25.8889	0.	0.	1.	0.	0.	0.	60.	
5.53723	59.4097	149	0	13	16	16	13	14	3.30893e-003	1.99371e-002	0.	0.	26.1667	0.	0.	1.	0.	0.	0.	60.	
5.55415	59.0876	150	0	13	16	16	13	14	3.40559e-003	1.99371e-002	0.	0.	26.4444	0.	0.	1.	0.	0.	0.	60.	
5.57115	58.8096	151	0	13	16	16	13	15	3.50225e-003	2.31594e-002	0.	0.	26.7222	0.	0.	1.	0.	0.	0.	60.	
5.58829	58.3671	152	0	14	16	16	14	15	3.62549e-003	2.31594e-002	0.	0.	27.	0.	0.	1.	0.	0.	0.	60.	
5.60528	58.8367	153	0	14	16	16	14	15	3.73777e-003	2.31594e-002	0.	0.	27.2778	0.	0.	1.	0.	0.	0.	60.	
5.62218	59.1995	154	0	14	16	16	14	15	3.85005e-003	2.31594e-002	0.	0.	27.5556	0.	0.	1.	0.	0.	0.	60.	
5.63958	57.456	155	0	14	16	16	14	15	3.96233e-003	2.31594e-002	0.	0.	27.8333	0.	0.	1.	0.	0.	0.	60.	
5.65666	58.5539	156	0	14	17	17	14	15	4.07461e-003	2.31594e-002	0.	0.	28.1111	0.	0.	1.	0.	0.	0.	60.	
5.67399	57.6982	157	0	14	17	17	14	15	4.18689e-003	2.31594e-002	0.	0.	28.3889	0.	0.	1.	0.	0.	0.	60.	
5.69099	58.8075	158	0	14	17	17	14	16	4.29917e-003	2.66676e-002	0.	0.	28.6667	0.	0.	1.	0.	0.	0.	60.	
5.70771	59.8152	159	0	15	17	17	15	16	4.43983e-003	2.66676e-002	0.	0.	28.9444	0.	0.	1.	0.	0.	0.	60.	
5.7246	59.2334	160	0	15	17	17	15	16	4.56912e-003	2.66676e-002	0.	0.	29.2222	0.	0.	1.	0.	0.	0.	60.	
5.74149	59.1805	161	0	15	17	17	15	16	4.69841e-003	2.66676e-002	0.	0.	29.5	0.	0.	1.	0.	0.	0.	60.	
5.75826	59.6472	162	0	15	17	17	15	16	4.8277e-003	2.66676e-002	0.	0.	29.7778	0.	0.	1.	0.	0.	0.	60.	
5.77502	59.6536	163	0	15	18	18	15	16	4.95699e-003	2.66676e-002	0.	0.	30.0556	0.	0.	1.	0.	0.	0.	60.	
5.79184	59.4449	164	0	15	18	18	15	16	5.08628e-003	2.66676e-002	0.	0.	30.3333	0.	0.	1.	0.	0.	0.	60.	
5.8086	59.6826	165	0	15	18	18	15	17	5.21556e-003	3.04253e-002	0.	0.	30.6111	0.	0.	1.	0.	0.	0.	60.	
5.82549	59.1879	166	0	16	18	18	16	17	5.5231e-003	3.04253e-002	0.	0.	31.1667	0.	0.	1.	0.	0.	0.	60.	
5.84225	59.6934	167	0	16	18	18	16	17	5.6706e-003	3.04253e-002	0.	0.	31.4444	0.	0.	1.	0.	0.	0.	60.	
5.85917	59.0928	168	0	16	18	18	16	17	5.81811e-003	3.04253e-002	0.	0.	31.7222	0.	0.	1.	0.	0.	0.	60.	
5.87622	58.6596	169	0	16	19	19	16	17	5.96561e-003	3.04253e-002	0.	0.	32.	0.	0.	1.	0.	0.	0.	60.	
5.89315	59.0654	170	0	16	19	19	16	17	6.11312e-003	3.04253e-002	0.	0.	32.2778	0.	0.	1.	0.	0.	0.	60.	
5.9101	58.9792	171	0	16	19	19	16	18	6.26063e-003	3.44804e-002	0.	0.	32.5556	0.	0.	1.	0.	0.	0.	60.	
5.92698	59.2514	172	0	17	19	19	17	18	6.44266e-003	3.44804e-002	0.	0.	32.8333	0.	0.	1.	0.	0.	0.	60.	
5.94397	58.866	173	0	17	19	19	17	18	6.60983e-003	3.44804e-002	0.	0.	33.1111	0.	0.	1.	0.	0.	0.	60.	
5.96088	59.115	174	0	17	19	19	17	18	6.77699e-003	3.44804e-002	0.	0.	33.3889	0.	0.	1.	0.	0.	0.	60.	
5.97786	58.9215	175	0	17	19	19	17	18	6.94416e-003	3.44804e-002	0.	0.	33.6667	0.	0.	1.	0.	0.	0.	60.	
5.99473	59.2503	176	0	17	20	20	17	18	7.11132e-003	3.44804e-002	0.	0.	33.9444	0.	0.	1.	0.	0.	0.	60.	
6.01176	58.7272	177	0	17	20	20	17	18	7.27849e-003	3.44804e-002	0.	0.	34.2222	0.	0.	1.	0.	0.	0.	60.	
6.0286	59.3714	178	0	17	20	20	17	19	7.44565e-003	3.88247e-002	0.	0.	34.5	0.	0.	1.	0.	0.	0.	60.	
6.0456	58.8252	179	0	18	20	20	18	19	7.65234e-003	3.88247e-002	0.	0.	34.7778	0.	0.	1.	0.	0.	0.	60.	
6.0626	58.8472	180	0	18	20	20	18	19	7.84056e-003	3.88247e-002	0.	0.	35.0556	0.	0.	1.	0.	0.	0.	60.	
6.07949	59.2058	181	0	18	20	20	18	19	8.02879e-003	3.88247e-002	0.	0.	35.3333	0.	0.	1.	0.	0.	0.	60.	
6.0965	58.7762	182	0	18	20	20	18	19	8.21702e-003	3.88247e-002	0.	0.	35.6111	0.	0.	1.	0.	0.	0.	60.	
6.11341	59.1509	183	0	18	21	21	18	19	8.40525e-003	3.88247e-002	0.	0.	35.8889	0.	0.	1.	0.	0.	0.	60.	
6.13041	58.7971	184	0	18	21	21	18	20	8.59347e-003	4.34495e-002	0.	0.	36.1667	0.	0.	1.	0.	0.	0.	60.	
6.1478	57.5179	185	0	18	21	21	18	20	8.80516e-003	4.34495e-002	0.	0.	36.4444	0.	0.	1.	0.	0.	0.	60.	
6.16501	58.0969	186	0	19	21	21	19	20	9.01581e-003	4.34495e-002	0.	0.	36.7222	0.	0.	1.	0.	0.	0.	60.	
6.18203	58.746	187	0	19	21	21	19	20	9.22646e-003	4.34495e-002	0.	0.	37.	0.	0.	1.	0.	0.	0.	60.	
6.19901	58.9006	188	0	19	21	21	19	20	3.25821e-003	4.34495e-002	0.	6.1789e-003	37.2778	0.	0.	1.	0.	0.	0.	60.	
