Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	AccumulativeHeading(Y)	Speed	Dynamic
2.44496	58.7095	115	0	4	16	15	4	9	2.67345	-2.229	29.4113	-2.55151	1.64458	0.	9.14808e-002	0.995807	0.	9.14808e-002	0.995807	0.	10.4165	5.2488	6.79708	1	
2.46093	62.6367	116	0	4	16	15	4	9	2.66512	-2.40261	29.4113	-2.54168	1.67268	0.	9.44978e-002	0.995525	0.	9.44978e-002	0.995525	0.	10.4165	5.42241	6.79708	1	
2.47795	58.7553	117	0	4	17	15	4	10	2.6567	-2.1741	29.4113	-2.53177	1.70075	0.	9.75138e-002	0.995234	0.	9.75138e-002	0.995234	0.	10.4165	5.59602	6.79708	1	
2.49495	58.8294	118	0	4	17	15	4	10	2.65325	-2.34771	29.4113	-2.52178	1.72879	0.	0.100529	0.994934	0.	0.100529	0.994934	0.	10.4165	5.76963	6.79708	1	
2.51105	62.1048	119	0	4	17	15	4	10	2.64486	-2.52132	29.4113	-2.5117	1.7568	0.	0.103543	0.994625	0.	0.103543	0.994625	0.	10.4165	5.94324	6.79708	1	
2.52794	59.1889	120	0	4	17	15	4	10	2.63639	-2.69493	29.4113	-2.50154	1.78478	0.	0.106556	0.994307	0.	0.106556	0.994307	0.	10.4165	6.11685	6.79708	1	
2.54493	58.8576	121	0	4	17	15	4	10	2.62783	-2.86853	29.4113	-2.49129	1.81273	0.	0.109569	0.993979	0.	0.109569	0.993979	0.	10.4165	6.29045	6.79708	1	
2.56196	58.7189	122	0	4	17	15	4	10	2.61918	-3.04214	29.4113	-2.48096	1.84064	0.	0.11258	0.993643	0.	0.11258	0.993643	0.	10.4165	6.46406	6.79708	1	
2.57893	58.9309	123	0	5	17	15	4	10	2.61044	-3.21575	29.4113	-2.47054	1.86853	0.	0.11559	0.993297	0.	0.11559	0.993297	0.	10.4165	6.63767	6.79708	1	
2.59493	62.4985	124	0	5	17	15	5	10	2.60162	-3.38936	29.4113	-2.46004	1.89638	0.	0.118599	0.992942	0.	0.118599	0.992942	0.	10.4165	6.81128	6.79708	1	
2.61093	62.5008	125	0	5	17	16	5	10	2.59271	-3.56297	29.4113	-2.44945	1.92421	0.	0.121608	0.992578	0.	0.121608	0.992578	0.	10.4165	6.98489	6.79708	1	
2.62694	62.4572	126	0	5	17	16	5	10	2.58372	-3.73658	29.4113	-2.43878	1.952	0.	0.124615	0.992205	0.	0.124615	0.992205	0.	10.4165	7.1585	6.79708	1	
2.64395	58.7887	127	0	5	18	16	5	10	2.57464	-3.91019	29.4113	-2.42802	1.97975	0.	0.12762	0.991823	0.	0.12762	0.991823	0.	10.4165	7.3321	6.79708	1	
2.66093	58.91	128	0	5	18	16	5	10	2.56548	-4.08379	29.4113	-2.41719	2.00748	0.	0.130625	0.991432	0.	0.130625	0.991432	0.	10.4165	7.50571	6.79708	1	
2.67694	62.4643	129	0	5	18	16	5	10	2.55623	-4.25602	29.1769	-2.40622	2.03592	0.	0.133605	0.991035	0.	0.133605	0.991035	0.	10.3335	7.67794	6.95334	1	
2.69394	58.8054	130	0	5	18	16	5	11	2.54701	-4.01248	28.7082	-2.39528	2.06438	0.	0.136535	0.990635	0.	0.136535	0.990635	0.	10.1675	7.8474	6.95334	1	
2.70993	62.5374	131	0	5	18	16	5	11	2.54319	-4.17915	28.2357	-2.38436	2.09286	0.	0.139416	0.990234	0.	0.139416	0.990234	0.	10.0002	8.01407	6.95334	1	
2.72694	58.8023	132	0	5	18	16	5	11	2.53423	-4.34305	27.767	-2.37347	2.12137	0.	0.142248	0.989831	0.	0.142248	0.989831	0.	9.83413	8.17797	6.95334	1	
2.74293	62.528	133	0	5	18	16	5	11	2.5253	-4.50417	27.2945	-2.3626	2.14991	0.	0.145031	0.989427	0.	0.145031	0.989427	0.	9.66681	8.33908	6.95334	1	
2.75993	58.8169	134	0	5	18	16	5	11	2.51662	-4.65696	25.8846	-2.35198	2.17859	0.	0.147669	0.989037	0.	0.147669	0.989037	0.	9.16746	8.49187	6.95334	1	
2.77603	62.1176	135	0	5	18	16	5	11	2.50814	-4.80279	24.7053	-2.34156	2.20738	0.	0.150186	0.988658	0.	0.150186	0.988658	0.	8.74981	8.6377	6.95334	1	
2.79298	58.9897	136	0	5	18	17	5	11	2.49987	-4.94168	23.5298	-2.33132	2.2363	0.	0.152582	0.988291	0.	0.152582	0.988291	0.	8.33346	8.77659	6.95334	1	
2.81002	58.7106	137	0	5	19	17	5	11	2.4918	-5.07363	22.3542	-2.32129	2.26533	0.	0.154858	0.987937	0.	0.154858	0.987937	0.	7.91711	8.90854	6.95334	1	
2.82593	62.828	138	0	6	19	17	5	11	2.48397	-5.19724	20.9406	-2.31146	2.29488	0.	0.156989	0.9876	0.	0.156989	0.9876	0.	7.41646	9.03215	7.03146	1	
2.84294	58.7835	139	0	6	19	17	6	11	2.4764	-5.31252	19.5306	-2.30189	2.32459	0.	0.158976	0.987283	0.	0.158976	0.987283	0.	6.9171	9.14744	7.03146	1	
2.85993	58.8597	140	0	6	19	17	6	11	2.46933	-5.41393	17.1795	-2.29279	2.35457	0.	0.160723	0.987	0.	0.160723	0.987	0.	6.0844	9.24884	7.03146	1	
2.87596	62.4043	141	0	6	19	17	6	11	2.46259	-5.50561	15.5315	-2.28401	2.38474	0.	0.162302	0.986741	0.	0.162302	0.986741	0.	5.50073	9.34052	7.03146	1	
2.89298	58.7355	142	0	6	19	17	6	11	2.45619	-5.58756	13.8835	-2.27557	2.4151	0.	0.163713	0.986508	0.	0.163713	0.986508	0.	4.91707	9.42247	7.03146	1	
2.90894	62.6652	143	0	6	19	17	6	12	2.45014	-5.23514	12.2355	-2.26745	2.44567	0.	0.164956	0.986301	0.	0.164956	0.986301	0.	4.3334	9.4947	7.03146	1	
2.92601	58.5777	144	0	6	19	17	6	12	2.45036	-5.29766	10.5911	-2.25967	2.47643	0.	0.166032	0.98612	0.	0.166032	0.98612	0.	3.75103	9.55721	7.03146	1	
2.94299	58.8901	145	0	6	19	17	6	12	2.44519	-5.35183	9.17753	-2.25218	2.50736	0.	0.166965	0.985963	0.	0.166965	0.985963	0.	3.25037	9.61139	7.03146	1	
2.95995	58.9844	146	0	6	20	18	6	12	2.44026	-5.39906	8.00195	-2.24492	2.53844	0.	0.167777	0.985825	0.	0.167777	0.985825	0.	2.83403	9.65862	7.03146	1	
